팩토링ID,채권ID,법인명,고객ID,통화,팩토링사,팩토링실행일,팩토링금액,수수료율,실수령액,상환유형
FT0238,AR0325,싱가포르법인,OC032,SGD,신한팩토링,2025-05-20,36960.23,0.0167,36342.99,소구
FT0239,AR0326,싱가포르법인,OC032,SGD,IBK기업은행,2025-02-20,47495.53,0.0249,46312.89,소구
FT0240,AR0327,싱가포르법인,OC032,SGD,HSBC Trade Finance,2025-04-15,18976.39,0.0318,18372.94,비소구
FT0241,AR0328,싱가포르법인,OC032,SGD,HSBC Trade Finance,2025-07-01,22240.17,0.0436,21270.5,비소구
FT0242,AR0329,싱가포르법인,OC032,SGD,신한팩토링,2025-04-23,14519.73,0.0362,13994.12,소구
FT0243,AR0329,싱가포르법인,OC032,SGD,HSBC Trade Finance,2025-04-28,11762.64,0.0199,11528.56,소구
FT0244,AR0330,중국법인,OC033,CNY,HSBC Trade Finance,2025-02-23,1921537.86,0.0333,1857550.65,비소구
FT0245,AR0331,중국법인,OC033,CNY,IBK기업은행,2025-03-08,660136.44,0.0444,630826.38,소구
FT0246,AR0331,중국법인,OC033,CNY,신한팩토링,2025-03-13,498327.2,0.0254,485669.69,소구
FT0247,AR0332,중국법인,OC033,CNY,HSBC Trade Finance,2025-06-17,2188029.33,0.015,2155208.89,소구
FT0248,AR0333,중국법인,OC033,CNY,IBK기업은행,2025-07-21,1756235.24,0.0274,1708114.39,소구
FT0249,AR0334,중국법인,OC033,CNY,IBK기업은행,2025-06-24,1184094.68,0.0419,1134481.11,소구
FT0250,AR0335,중국법인,OC033,CNY,HSBC Trade Finance,2025-05-07,253051.17,0.0389,243207.48,소구
FT0251,AR0336,중국법인,OC033,CNY,IBK기업은행,2025-05-06,167962.92,0.0158,165309.11,소구
FT0252,AR0340,싱가포르법인,OC034,SGD,신한팩토링,2025-03-25,31899.13,0.0204,31248.39,소구
FT0253,AR0341,싱가포르법인,OC034,SGD,HSBC Trade Finance,2025-06-27,17050.13,0.0441,16298.22,소구
FT0254,AR0344,싱가포르법인,OC034,SGD,우리은행 무역금융,2025-05-15,33640.73,0.0396,32308.56,비소구
FT0255,AR0345,싱가포르법인,OC034,SGD,BNP Paribas Factor,2025-04-13,48053.84,0.0257,46818.86,비소구
FT0256,AR0347,싱가포르법인,OC034,SGD,HSBC Trade Finance,2025-02-03,30020.72,0.04,28819.89,비소구
FT0257,AR0350,싱가포르법인,OC034,SGD,BNP Paribas Factor,2025-04-16,20005.96,0.0253,19499.81,소구
FT0258,AR0350,싱가포르법인,OC034,SGD,신한팩토링,2025-04-14,8713.39,0.0182,8554.81,소구
FT0259,AR0351,싱가포르법인,OC034,SGD,IBK기업은행,2025-04-05,59322.66,0.0288,57614.17,소구
FT0260,AR0352,싱가포르법인,OC034,SGD,신한팩토링,2025-01-19,37161.02,0.0427,35574.24,소구
FT0261,AR0352,싱가포르법인,OC034,SGD,BNP Paribas Factor,2025-01-13,27881.47,0.0223,27259.71,소구
FT0262,AR0353,미국법인,OC035,USD,IBK기업은행,2025-08-13,35593.14,0.0276,34610.77,소구
FT0263,AR0354,미국법인,OC035,USD,신한팩토링,2025-03-17,50612.63,0.0365,48765.27,비소구
FT0264,AR0356,미국법인,OC035,USD,BNP Paribas Factor,2025-01-20,44853.3,0.0262,43678.14,비소구
FT0265,AR0356,미국법인,OC035,USD,IBK기업은행,2025-02-04,24663.0,0.0152,24288.12,비소구
FT0266,AR0358,미국법인,OC035,USD,HSBC Trade Finance,2025-02-08,37285.14,0.0364,35927.96,소구
FT0267,AR0361,미국법인,OC035,USD,IBK기업은행,2025-04-08,36075.26,0.0259,35140.91,소구
FT0268,AR0362,미국법인,OC035,USD,IBK기업은행,2025-01-20,88372.53,0.0323,85518.1,소구
FT0269,AR0364,미국법인,OC035,USD,신한팩토링,2025-04-28,33080.45,0.0253,32243.51,비소구
FT0270,AR0365,미국법인,OC035,USD,우리은행 무역금융,2025-04-27,33979.32,0.0424,32538.6,비소구
FT0271,AR0365,미국법인,OC035,USD,BNP Paribas Factor,2025-04-13,36163.47,0.0198,35447.43,소구
FT0272,AR0366,미국법인,OC035,USD,신한팩토링,2025-07-16,18125.6,0.0183,17793.9,소구
FT0273,AR0367,독일법인,OC036,EUR,신한팩토링,2025-01-16,25148.38,0.0426,24077.06,소구
FT0274,AR0368,독일법인,OC036,EUR,BNP Paribas Factor,2025-07-26,5412.84,0.0402,5195.24,소구
FT0275,AR0369,독일법인,OC036,EUR,IBK기업은행,2025-05-08,16065.5,0.0206,15734.55,소구
FT0276,AR0371,독일법인,OC036,EUR,BNP Paribas Factor,2025-07-06,47700.03,0.0244,46536.15,비소구
FT0277,AR0372,독일법인,OC036,EUR,HSBC Trade Finance,2025-01-31,22888.52,0.0199,22433.04,비소구
FT0278,AR0374,독일법인,OC036,EUR,BNP Paribas Factor,2025-06-22,48016.23,0.0188,47113.52,소구
FT0279,AR0375,독일법인,OC036,EUR,BNP Paribas Factor,2025-04-08,47164.01,0.0422,45173.69,소구
FT0280,AR0376,독일법인,OC036,EUR,우리은행 무역금융,2025-05-04,40907.78,0.0414,39214.2,소구
FT0281,AR0377,중국법인,OC037,CNY,우리은행 무역금융,2025-08-11,1306372.71,0.021,1278938.88,소구
FT0282,AR0379,중국법인,OC037,CNY,IBK기업은행,2025-01-28,228406.28,0.0362,220137.97,소구
FT0283,AR0380,중국법인,OC037,CNY,HSBC Trade Finance,2025-02-12,322141.58,0.0237,314506.82,비소구
FT0284,AR0381,중국법인,OC037,CNY,BNP Paribas Factor,2025-05-12,274168.29,0.0322,265340.07,소구
FT0285,AR0382,중국법인,OC037,CNY,IBK기업은행,2025-06-03,969840.72,0.0273,943364.07,소구
FT0286,AR0384,중국법인,OC037,CNY,BNP Paribas Factor,2025-04-15,642376.53,0.0265,625353.55,비소구
FT0287,AR0384,중국법인,OC037,CNY,IBK기업은행,2025-04-14,401847.21,0.0428,384648.15,소구
FT0288,AR0385,베트남법인,OC038,VND,BNP Paribas Factor,2025-02-20,2562884.22,0.0273,2492917.48,소구
FT0289,AR0386,베트남법인,OC038,VND,IBK기업은행,2025-08-05,1265701.55,0.0287,1229375.92,소구
FT0290,AR0387,베트남법인,OC038,VND,우리은행 무역금융,2025-06-30,1644770.14,0.0362,1585229.46,비소구
FT0291,AR0388,베트남법인,OC038,VND,신한팩토링,2025-06-21,1208721.67,0.0215,1182734.15,비소구
FT0292,AR0388,베트남법인,OC038,VND,신한팩토링,2025-06-15,904700.8,0.0369,871317.34,소구
FT0293,AR0389,베트남법인,OC038,VND,HSBC Trade Finance,2025-04-09,473015.95,0.0201,463508.33,소구
FT0294,AR0389,베트남법인,OC038,VND,HSBC Trade Finance,2025-03-27,273906.46,0.018,268976.14,소구
FT0295,AR0390,베트남법인,OC038,VND,우리은행 무역금융,2025-06-06,1019322.34,0.0174,1001586.13,소구
FT0296,AR0391,싱가포르법인,OC039,SGD,신한팩토링,2025-08-15,33960.93,0.0211,33244.35,비소구
FT0297,AR0393,싱가포르법인,OC039,SGD,BNP Paribas Factor,2025-04-13,11376.25,0.0214,11132.8,비소구
FT0298,AR0394,싱가포르법인,OC039,SGD,IBK기업은행,2025-08-06,75575.18,0.0382,72688.21,소구
FT0299,AR0396,싱가포르법인,OC039,SGD,IBK기업은행,2025-02-25,46670.64,0.0325,45153.84,소구
FT0300,AR0397,싱가포르법인,OC039,SGD,BNP Paribas Factor,2025-06-13,67605.09,0.0332,65360.6,소구
FT0301,AR0399,싱가포르법인,OC039,SGD,HSBC Trade Finance,2025-08-25,39797.09,0.0369,38328.58,비소구
FT0302,AR0400,중국법인,OC040,CNY,IBK기업은행,2025-01-21,685334.9,0.0201,671559.67,소구
FT0303,AR0400,중국법인,OC040,CNY,우리은행 무역금융,2025-01-20,806554.51,0.0374,776389.37,소구
FT0304,AR0401,중국법인,OC040,CNY,신한팩토링,2025-01-29,1452706.5,0.0359,1400554.34,비소구
FT0305,AR0403,중국법인,OC040,CNY,BNP Paribas Factor,2025-05-06,267483.4,0.0181,262641.95,소구
FT0306,AR0406,중국법인,OC040,CNY,IBK기업은행,2025-05-25,1599666.98,0.0315,1549277.47,비소구
FT0307,AR0407,중국법인,OC040,CNY,BNP Paribas Factor,2025-01-23,511056.15,0.0236,498995.22,소구
FT0308,AR0409,싱가포르법인,OC041,SGD,BNP Paribas Factor,2025-01-05,7990.23,0.0163,7859.99,소구
FT0309,AR0410,싱가포르법인,OC041,SGD,신한팩토링,2025-04-25,66285.36,0.0415,63534.52,소구
FT0310,AR0411,싱가포르법인,OC041,SGD,IBK기업은행,2025-07-11,46378.75,0.0282,45070.87,소구
FT0311,AR0412,싱가포르법인,OC041,SGD,우리은행 무역금융,2025-06-07,10993.64,0.0424,10527.51,비소구
FT0312,AR0413,싱가포르법인,OC041,SGD,BNP Paribas Factor,2025-07-19,81816.05,0.0314,79247.03,소구
FT0313,AR0414,싱가포르법인,OC041,SGD,IBK기업은행,2025-08-21,26217.13,0.0402,25163.2,비소구
FT0314,AR0415,싱가포르법인,OC041,SGD,BNP Paribas Factor,2025-03-11,54488.82,0.0325,52717.93,소구
FT0315,AR0417,싱가포르법인,OC041,SGD,HSBC Trade Finance,2025-04-17,20779.8,0.0205,20353.81,비소구
FT0316,AR0418,싱가포르법인,OC041,SGD,신한팩토링,2025-06-02,14841.63,0.0228,14503.24,비소구
FT0317,AR0420,중국법인,OC042,CNY,BNP Paribas Factor,2025-02-25,197507.27,0.0418,189251.47,소구
FT0318,AR0420,중국법인,OC042,CNY,IBK기업은행,2025-03-07,113330.03,0.0202,111040.76,소구
FT0319,AR0423,중국법인,OC042,CNY,BNP Paribas Factor,2025-06-02,2235537.3,0.0416,2142538.95,소구
FT0320,AR0424,중국법인,OC042,CNY,우리은행 무역금융,2025-08-27,2152015.53,0.0266,2094771.92,소구
FT0321,AR0426,중국법인,OC042,CNY,우리은행 무역금융,2025-02-25,1489064.15,0.0406,1428608.15,소구
FT0322,AR0427,중국법인,OC042,CNY,신한팩토링,2025-04-25,194816.1,0.023,190335.33,비소구
FT0323,AR0428,중국법인,OC042,CNY,우리은행 무역금융,2025-01-03,1665462.27,0.037,1603840.17,비소구
FT0324,AR0431,싱가포르법인,OC043,SGD,우리은행 무역금융,2025-05-01,37371.91,0.0341,36097.53,소구
FT0325,AR0434,싱가포르법인,OC043,SGD,신한팩토링,2025-05-08,19449.95,0.0284,18897.57,소구
FT0326,AR0435,싱가포르법인,OC043,SGD,IBK기업은행,2025-01-19,61693.97,0.0401,59220.04,소구
FT0327,AR0440,싱가포르법인,OC043,SGD,신한팩토링,2025-08-04,51518.58,0.0198,50498.51,소구
FT0328,AR0440,싱가포르법인,OC043,SGD,BNP Paribas Factor,2025-08-10,22595.22,0.0296,21926.4,소구
FT0329,AR0441,싱가포르법인,OC044,SGD,BNP Paribas Factor,2025-07-28,20710.98,0.0313,20062.73,비소구
FT0330,AR0443,싱가포르법인,OC044,SGD,IBK기업은행,2025-07-16,77224.91,0.0151,76058.81,소구
FT0331,AR0446,싱가포르법인,OC044,SGD,HSBC Trade Finance,2025-03-30,61467.44,0.0225,60084.42,소구
FT0332,AR0447,싱가포르법인,OC044,SGD,HSBC Trade Finance,2025-07-30,88157.15,0.0372,84877.7,소구
FT0333,AR0448,싱가포르법인,OC044,SGD,IBK기업은행,2025-04-10,71361.5,0.0152,70276.81,비소구
FT0334,AR0449,싱가포르법인,OC044,SGD,IBK기업은행,2025-05-01,24576.95,0.0294,23854.39,소구
FT0335,AR0450,중국법인,OC045,CNY,신한팩토링,2025-03-20,829936.26,0.041,795908.87,소구
FT0336,AR0451,중국법인,OC045,CNY,신한팩토링,2025-06-12,1250109.34,0.0359,1205230.41,소구
FT0337,AR0452,중국법인,OC045,CNY,BNP Paribas Factor,2025-02-09,895719.06,0.028,870638.93,소구
FT0338,AR0455,중국법인,OC045,CNY,우리은행 무역금융,2025-03-27,1389018.34,0.0152,1367905.26,소구
FT0339,AR0457,중국법인,OC045,CNY,IBK기업은행,2025-05-17,603609.11,0.0251,588458.52,소구
FT0340,AR0458,중국법인,OC045,CNY,IBK기업은행,2025-05-01,361606.19,0.0447,345442.39,소구
FT0341,AR0461,중국법인,OC045,CNY,IBK기업은행,2025-02-12,2562936.19,0.0275,2492455.44,비소구
FT0342,AR0462,중국법인,OC045,CNY,HSBC Trade Finance,2025-04-12,599649.37,0.0213,586876.84,비소구
FT0343,AR0463,싱가포르법인,OC046,SGD,신한팩토링,2025-02-17,47031.0,0.0296,45638.88,소구
FT0344,AR0464,싱가포르법인,OC046,SGD,IBK기업은행,2025-06-01,85511.89,0.0385,82219.68,소구
FT0345,AR0465,싱가포르법인,OC046,SGD,신한팩토링,2025-05-13,34288.02,0.0194,33622.83,비소구
FT0346,AR0468,싱가포르법인,OC046,SGD,IBK기업은행,2025-02-28,58893.25,0.0159,57956.85,비소구
FT0347,AR0469,싱가포르법인,OC046,SGD,BNP Paribas Factor,2025-04-28,55607.38,0.0277,54067.06,소구
FT0348,AR0471,독일법인,OC047,EUR,IBK기업은행,2025-08-06,77591.04,0.0315,75146.92,소구
FT0349,AR0473,독일법인,OC047,EUR,우리은행 무역금융,2025-07-22,36972.79,0.0267,35985.62,소구
FT0350,AR0474,독일법인,OC047,EUR,신한팩토링,2025-05-30,64883.95,0.0397,62308.06,비소구
FT0351,AR0475,독일법인,OC047,EUR,IBK기업은행,2025-06-09,27233.05,0.0391,26168.24,소구
FT0352,AR0476,독일법인,OC047,EUR,신한팩토링,2025-02-04,35657.4,0.0228,34844.41,비소구
FT0353,AR0476,독일법인,OC047,EUR,HSBC Trade Finance,2025-02-08,14004.49,0.0366,13491.93,소구
FT0354,AR0477,독일법인,OC047,EUR,우리은행 무역금융,2025-08-19,60884.02,0.0428,58278.18,소구
FT0355,AR0479,독일법인,OC047,EUR,HSBC Trade Finance,2025-05-29,34382.65,0.0376,33089.86,소구
FT0356,AR0480,독일법인,OC048,EUR,우리은행 무역금융,2025-07-26,57094.31,0.0264,55587.02,비소구
FT0357,AR0481,독일법인,OC048,EUR,우리은행 무역금융,2025-04-04,16480.93,0.0408,15808.51,소구
FT0358,AR0483,독일법인,OC048,EUR,HSBC Trade Finance,2025-04-18,19118.43,0.0155,18822.09,소구
FT0359,AR0484,독일법인,OC048,EUR,HSBC Trade Finance,2025-05-07,20048.73,0.0444,19158.57,소구
FT0360,AR0485,독일법인,OC048,EUR,우리은행 무역금융,2025-04-24,22018.03,0.0284,21392.72,소구
FT0361,AR0485,독일법인,OC048,EUR,BNP Paribas Factor,2025-04-25,10064.72,0.0375,9687.29,비소구
FT0362,AR0486,독일법인,OC048,EUR,IBK기업은행,2025-05-19,56686.09,0.028,55098.88,비소구
FT0363,AR0487,독일법인,OC048,EUR,우리은행 무역금융,2025-06-23,89360.01,0.0311,86580.91,소구
FT0364,AR0489,독일법인,OC048,EUR,우리은행 무역금융,2025-04-11,20552.33,0.0184,20174.17,비소구
FT0365,AR0490,독일법인,OC048,EUR,신한팩토링,2025-07-30,46226.43,0.0246,45089.26,비소구
FT0366,AR0493,독일법인,OC048,EUR,BNP Paribas Factor,2025-08-07,17501.48,0.0424,16759.42,소구
FT0367,AR0494,미국법인,OC049,USD,HSBC Trade Finance,2025-07-22,78816.07,0.0346,76089.03,소구
FT0368,AR0496,미국법인,OC049,USD,HSBC Trade Finance,2025-04-15,6494.88,0.0377,6250.02,소구
FT0369,AR0497,미국법인,OC049,USD,신한팩토링,2025-04-08,90452.48,0.044,86472.57,소구
FT0370,AR0498,미국법인,OC049,USD,우리은행 무역금융,2025-06-19,18381.99,0.0297,17836.04,비소구
FT0371,AR0499,미국법인,OC049,USD,BNP Paribas Factor,2025-04-13,64442.73,0.0421,61729.69,비소구
FT0372,AR0501,미국법인,OC049,USD,HSBC Trade Finance,2025-07-10,10027.56,0.0345,9681.61,소구
FT0373,AR0503,미국법인,OC049,USD,신한팩토링,2025-08-19,55205.16,0.0273,53698.06,소구
FT0374,AR0504,미국법인,OC049,USD,우리은행 무역금융,2025-01-15,2709.14,0.0438,2590.48,소구
FT0375,AR0504,미국법인,OC049,USD,IBK기업은행,2025-01-21,2120.91,0.0419,2032.04,소구
FT0376,AR0505,중국법인,OC050,CNY,BNP Paribas Factor,2025-01-26,133935.6,0.0427,128216.55,소구
FT0377,AR0506,중국법인,OC050,CNY,우리은행 무역금융,2025-04-07,429301.51,0.0321,415520.93,소구
FT0378,AR0508,중국법인,OC050,CNY,IBK기업은행,2025-03-01,241970.05,0.0261,235654.63,소구
FT0379,AR0509,중국법인,OC050,CNY,IBK기업은행,2025-06-25,1767470.1,0.0286,1716920.46,소구
FT0380,AR0510,중국법인,OC050,CNY,HSBC Trade Finance,2025-01-10,679131.93,0.0359,654751.09,비소구
FT0381,AR0511,중국법인,OC050,CNY,신한팩토링,2025-03-31,1541411.21,0.0294,1496093.72,비소구
FT0382,AR0512,중국법인,OC050,CNY,BNP Paribas Factor,2025-08-05,167157.44,0.0357,161189.92,소구
FT0383,AR0513,중국법인,OC050,CNY,신한팩토링,2025-06-04,1068022.52,0.0393,1026049.23,비소구
FT0384,AR0515,중국법인,OC050,CNY,BNP Paribas Factor,2025-05-05,2417541.54,0.0431,2313345.5,소구
FT0385,AR0516,중국법인,OC050,CNY,BNP Paribas Factor,2025-01-22,692978.0,0.0259,675029.87,비소구
FT0386,AR0519,중국법인,OC051,CNY,IBK기업은행,2025-05-28,326270.33,0.0185,320234.33,비소구
FT0387,AR0519,중국법인,OC051,CNY,HSBC Trade Finance,2025-05-29,236779.67,0.0259,230647.08,소구
FT0388,AR0521,중국법인,OC051,CNY,신한팩토링,2025-05-18,180497.26,0.03,175082.34,비소구
FT0389,AR0521,중국법인,OC051,CNY,우리은행 무역금융,2025-05-12,84028.61,0.0359,81011.98,소구
FT0390,AR0522,중국법인,OC051,CNY,BNP Paribas Factor,2025-07-19,1033369.54,0.0289,1003505.16,소구
FT0391,AR0526,중국법인,OC051,CNY,우리은행 무역금융,2025-06-10,1989896.25,0.0444,1901544.86,비소구
FT0392,AR0527,중국법인,OC051,CNY,BNP Paribas Factor,2025-03-18,1815553.2,0.0203,1778697.47,소구
FT0393,AR0529,싱가포르법인,OC052,SGD,HSBC Trade Finance,2025-03-05,34255.73,0.0252,33392.49,비소구
FT0394,AR0530,싱가포르법인,OC052,SGD,신한팩토링,2025-04-20,91638.46,0.0311,88788.5,소구
FT0395,AR0531,싱가포르법인,OC052,SGD,우리은행 무역금융,2025-01-29,16457.84,0.0186,16151.72,소구
FT0396,AR0532,싱가포르법인,OC052,SGD,우리은행 무역금융,2025-06-25,58513.75,0.0313,56682.27,소구
FT0397,AR0533,싱가포르법인,OC052,SGD,IBK기업은행,2025-05-13,91621.02,0.0245,89376.31,소구
FT0398,AR0534,싱가포르법인,OC052,SGD,HSBC Trade Finance,2025-06-09,43256.72,0.0373,41643.24,비소구
FT0399,AR0535,싱가포르법인,OC052,SGD,HSBC Trade Finance,2025-06-06,73798.97,0.0298,71599.76,소구
FT0400,AR0537,싱가포르법인,OC052,SGD,BNP Paribas Factor,2025-08-17,88802.82,0.0315,86005.53,비소구
FT0401,AR0539,미국법인,OC053,USD,IBK기업은행,2025-01-15,12316.99,0.0388,11839.09,소구
FT0402,AR0539,미국법인,OC053,USD,우리은행 무역금융,2025-01-16,7434.6,0.0354,7171.42,비소구
FT0403,AR0541,미국법인,OC053,USD,신한팩토링,2025-06-18,50119.77,0.0166,49287.78,소구
FT0404,AR0541,미국법인,OC053,USD,HSBC Trade Finance,2025-06-18,26563.09,0.0243,25917.61,소구
FT0405,AR0542,미국법인,OC053,USD,신한팩토링,2025-07-20,73312.69,0.024,71553.19,소구
FT0406,AR0544,독일법인,OC054,EUR,BNP Paribas Factor,2025-05-05,61521.64,0.0353,59349.93,비소구
FT0407,AR0546,독일법인,OC054,EUR,신한팩토링,2025-05-08,47755.55,0.0198,46809.99,소구
FT0408,AR0547,독일법인,OC054,EUR,우리은행 무역금융,2025-06-09,34996.09,0.041,33561.25,비소구
FT0409,AR0548,독일법인,OC054,EUR,신한팩토링,2025-05-21,82730.46,0.0383,79561.88,소구
FT0410,AR0549,독일법인,OC054,EUR,BNP Paribas Factor,2025-05-20,11976.65,0.0167,11776.64,비소구
FT0411,AR0550,독일법인,OC054,EUR,IBK기업은행,2025-04-25,63962.2,0.0444,61122.28,소구
FT0412,AR0551,독일법인,OC054,EUR,HSBC Trade Finance,2025-05-28,75518.21,0.0231,73773.74,소구
FT0413,AR0552,미국법인,OC055,USD,우리은행 무역금융,2025-06-25,61752.47,0.0369,59473.8,소구
FT0414,AR0553,미국법인,OC055,USD,우리은행 무역금융,2025-02-25,12502.55,0.032,12102.47,소구
FT0415,AR0554,미국법인,OC055,USD,신한팩토링,2025-03-21,60749.39,0.0197,59552.63,소구
FT0416,AR0555,미국법인,OC055,USD,IBK기업은행,2025-05-26,5099.34,0.035,4920.86,비소구
FT0417,AR0555,미국법인,OC055,USD,HSBC Trade Finance,2025-05-19,6899.46,0.0164,6786.31,소구
FT0418,AR0556,미국법인,OC055,USD,HSBC Trade Finance,2025-02-12,55586.86,0.0339,53702.47,비소구
FT0419,AR0557,미국법인,OC055,USD,우리은행 무역금융,2025-02-06,7416.95,0.0316,7182.57,비소구
FT0420,AR0559,미국법인,OC055,USD,우리은행 무역금융,2025-06-07,25490.02,0.0251,24850.22,소구
FT0421,AR0562,미국법인,OC055,USD,우리은행 무역금융,2025-05-07,64623.74,0.0379,62174.5,소구
FT0422,AR0563,미국법인,OC055,USD,BNP Paribas Factor,2025-02-11,7642.8,0.034,7382.94,소구
FT0423,AR0567,싱가포르법인,OC056,SGD,IBK기업은행,2025-08-18,44272.48,0.0296,42962.01,비소구
FT0424,AR0568,싱가포르법인,OC056,SGD,HSBC Trade Finance,2025-08-03,22022.42,0.0233,21509.3,소구
FT0425,AR0570,싱가포르법인,OC056,SGD,신한팩토링,2025-08-21,7857.19,0.0232,7674.9,소구
FT0426,AR0572,싱가포르법인,OC056,SGD,신한팩토링,2025-01-23,31143.84,0.0173,30605.05,비소구
FT0427,AR0573,싱가포르법인,OC056,SGD,신한팩토링,2025-01-12,52104.66,0.0222,50947.94,소구
FT0428,AR0574,싱가포르법인,OC056,SGD,신한팩토링,2025-04-12,11703.93,0.022,11446.44,비소구
FT0429,AR0574,싱가포르법인,OC056,SGD,BNP Paribas Factor,2025-04-04,3861.65,0.0212,3779.78,비소구
FT0430,AR0575,싱가포르법인,OC056,SGD,IBK기업은행,2025-05-09,43112.18,0.0449,41176.44,소구
FT0431,AR0576,싱가포르법인,OC056,SGD,신한팩토링,2025-05-03,22359.05,0.0364,21545.18,소구
FT0432,AR0581,싱가포르법인,OC057,SGD,BNP Paribas Factor,2025-04-16,33468.27,0.0366,32243.33,소구
FT0433,AR0582,싱가포르법인,OC057,SGD,IBK기업은행,2025-03-20,89183.19,0.0293,86570.12,비소구
FT0434,AR0583,싱가포르법인,OC057,SGD,HSBC Trade Finance,2025-01-23,60136.92,0.0395,57761.51,비소구
FT0435,AR0583,싱가포르법인,OC057,SGD,우리은행 무역금융,2025-01-18,23440.97,0.0419,22458.79,비소구
FT0436,AR0584,싱가포르법인,OC057,SGD,신한팩토링,2025-03-28,60658.49,0.0389,58298.87,소구
FT0437,AR0586,미국법인,OC058,USD,우리은행 무역금융,2025-08-05,52148.86,0.0391,50109.84,소구
FT0438,AR0587,미국법인,OC058,USD,우리은행 무역금융,2025-05-31,38843.91,0.0211,38024.3,비소구
FT0439,AR0589,미국법인,OC058,USD,BNP Paribas Factor,2025-07-09,45340.11,0.0294,44007.11,소구
FT0440,AR0590,미국법인,OC058,USD,BNP Paribas Factor,2025-05-17,20254.79,0.0386,19472.96,소구
FT0441,AR0591,미국법인,OC058,USD,우리은행 무역금융,2025-06-14,60704.57,0.02,59490.48,소구
FT0442,AR0592,미국법인,OC058,USD,우리은행 무역금융,2025-05-24,43408.57,0.0444,41481.23,소구
FT0443,AR0595,미국법인,OC058,USD,우리은행 무역금융,2025-08-25,26818.64,0.0206,26266.18,비소구
FT0444,AR0595,미국법인,OC058,USD,BNP Paribas Factor,2025-08-22,18644.54,0.0401,17896.89,소구
FT0445,AR0597,싱가포르법인,OC059,SGD,우리은행 무역금융,2025-03-23,42978.57,0.0216,42050.23,비소구
FT0446,AR0598,싱가포르법인,OC059,SGD,우리은행 무역금융,2025-07-24,36972.62,0.0337,35726.64,비소구
FT0447,AR0598,싱가포르법인,OC059,SGD,우리은행 무역금융,2025-07-29,18877.93,0.0375,18170.01,소구
FT0448,AR0599,싱가포르법인,OC059,SGD,신한팩토링,2025-01-21,73904.51,0.0244,72101.24,소구
FT0449,AR0600,싱가포르법인,OC059,SGD,IBK기업은행,2025-08-19,103182.13,0.0325,99828.71,비소구
FT0450,AR0601,싱가포르법인,OC059,SGD,신한팩토링,2025-02-15,96635.28,0.0247,94248.39,소구
FT0451,AR0602,싱가포르법인,OC059,SGD,신한팩토링,2025-03-15,83082.81,0.0212,81321.45,소구
FT0452,AR0603,싱가포르법인,OC059,SGD,IBK기업은행,2025-06-26,39041.54,0.0309,37835.16,소구
FT0453,AR0604,싱가포르법인,OC059,SGD,IBK기업은행,2025-01-13,115565.68,0.0277,112364.51,비소구
FT0454,AR0606,싱가포르법인,OC059,SGD,IBK기업은행,2025-03-26,50330.87,0.0421,48211.94,소구
FT0455,AR0607,중국법인,OC060,CNY,신한팩토링,2025-05-10,496326.58,0.0386,477168.37,비소구
FT0456,AR0608,중국법인,OC060,CNY,우리은행 무역금융,2025-07-11,163217.91,0.0262,158941.6,소구
FT0457,AR0609,중국법인,OC060,CNY,BNP Paribas Factor,2025-08-01,388828.49,0.0304,377008.1,소구
FT0458,AR0610,중국법인,OC060,CNY,우리은행 무역금융,2025-03-09,1826701.28,0.0191,1791811.29,소구
FT0459,AR0611,중국법인,OC060,CNY,신한팩토링,2025-07-23,321381.04,0.033,310775.47,소구
FT0460,AR0613,중국법인,OC060,CNY,IBK기업은행,2025-03-27,126781.78,0.017,124626.49,소구
FT0461,AR0616,중국법인,OC060,CNY,우리은행 무역금융,2025-03-17,645059.46,0.0285,626675.27,소구
FT0462,AR0617,독일법인,OC061,EUR,BNP Paribas Factor,2025-04-09,30685.8,0.0354,29599.52,소구
FT0463,AR0619,독일법인,OC061,EUR,우리은행 무역금융,2025-04-19,36705.64,0.0397,35248.43,소구
FT0464,AR0621,독일법인,OC061,EUR,신한팩토링,2025-06-23,88973.96,0.0284,86447.1,비소구
FT0465,AR0625,독일법인,OC061,EUR,IBK기업은행,2025-05-21,33976.89,0.0181,33361.91,소구
FT0466,AR0626,독일법인,OC061,EUR,BNP Paribas Factor,2025-06-08,18834.0,0.0248,18366.92,소구
FT0467,AR0626,독일법인,OC061,EUR,우리은행 무역금융,2025-06-09,24628.94,0.0182,24180.69,소구
FT0468,AR0627,독일법인,OC061,EUR,신한팩토링,2025-04-16,71868.73,0.0307,69662.36,소구
FT0469,AR0628,독일법인,OC061,EUR,신한팩토링,2025-02-14,61974.73,0.0153,61026.52,비소구
FT0470,AR0629,독일법인,OC061,EUR,우리은행 무역금융,2025-06-03,77574.13,0.0448,74098.81,소구
FT0471,AR0630,베트남법인,OC062,VND,HSBC Trade Finance,2025-07-10,1677129.58,0.0209,1642077.57,비소구
FT0472,AR0632,베트남법인,OC062,VND,신한팩토링,2025-01-22,1142644.01,0.0354,1102194.41,소구
FT0473,AR0633,베트남법인,OC062,VND,BNP Paribas Factor,2025-04-05,630927.74,0.019,618940.11,소구
FT0474,AR0633,베트남법인,OC062,VND,HSBC Trade Finance,2025-04-03,670979.24,0.0155,660579.06,비소구
FT0475,AR0634,베트남법인,OC062,VND,신한팩토링,2025-07-20,2300600.29,0.0203,2253898.1,소구
