회수ID,채권ID,법인명,고객ID,회수일자,회수금액,통화
RC0389,AR0391,싱가포르법인,OC039,2025-06-30,25488.37,SGD
RC0390,AR0392,싱가포르법인,OC039,2025-03-28,4342.96,SGD
RC0391,AR0392,싱가포르법인,OC039,2025-05-21,4342.95,SGD
RC0392,AR0393,싱가포르법인,OC039,2025-06-30,14770.9,SGD
RC0393,AR0394,싱가포르법인,OC039,2025-06-30,41491.25,SGD
RC0394,AR0394,싱가포르법인,OC039,2025-06-30,41491.24,SGD
RC0395,AR0396,싱가포르법인,OC039,2025-04-07,36576.88,SGD
RC0396,AR0396,싱가포르법인,OC039,2025-03-27,36576.87,SGD
RC0397,AR0398,싱가포르법인,OC039,2025-05-25,29976.84,SGD
RC0398,AR0398,싱가포르법인,OC039,2025-06-30,29976.85,SGD
RC0399,AR0400,중국법인,OC040,2025-03-18,512996.5,CNY
RC0400,AR0400,중국법인,OC040,2025-04-29,512996.5,CNY
RC0401,AR0401,중국법인,OC040,2025-05-02,1012231.0,CNY
RC0402,AR0401,중국법인,OC040,2025-03-19,1012231.0,CNY
RC0403,AR0402,중국법인,OC040,2025-06-30,2613363.0,CNY
RC0404,AR0403,중국법인,OC040,2025-05-30,647834.0,CNY
RC0405,AR0404,중국법인,OC040,2025-06-30,183096.0,CNY
RC0406,AR0406,중국법인,OC040,2025-05-26,600401.25,CNY
RC0407,AR0406,중국법인,OC040,2025-06-30,600401.25,CNY
RC0408,AR0407,중국법인,OC040,2025-06-12,349500.5,CNY
RC0409,AR0407,중국법인,OC040,2025-03-22,349500.5,CNY
RC0410,AR0409,싱가포르법인,OC041,2025-06-30,9033.28,SGD
RC0411,AR0409,싱가포르법인,OC041,2025-04-11,9033.28,SGD
RC0412,AR0410,싱가포르법인,OC041,2025-05-28,80075.67,SGD
RC0413,AR0411,싱가포르법인,OC041,2025-06-30,24173.2,SGD
RC0414,AR0412,싱가포르법인,OC041,2025-06-30,9206.48,SGD
RC0415,AR0413,싱가포르법인,OC041,2025-06-30,103251.36,SGD
RC0416,AR0414,싱가포르법인,OC041,2025-06-30,46104.93,SGD
RC0417,AR0417,싱가포르법인,OC041,2025-06-30,17455.13,SGD
RC0418,AR0417,싱가포르법인,OC041,2025-06-30,17455.14,SGD
RC0419,AR0418,싱가포르법인,OC041,2025-06-30,22202.49,SGD
RC0420,AR0420,중국법인,OC042,2025-05-03,456812.0,CNY
RC0421,AR0424,중국법인,OC042,2025-06-30,1322389.0,CNY
RC0422,AR0424,중국법인,OC042,2025-06-30,1322389.0,CNY
RC0423,AR0426,중국법인,OC042,2025-03-05,2171484.0,CNY
RC0424,AR0427,중국법인,OC042,2025-05-24,342974.0,CNY
RC0425,AR0428,중국법인,OC042,2025-03-07,439497.75,CNY
RC0426,AR0428,중국법인,OC042,2025-03-25,439497.75,CNY
RC0427,AR0429,중국법인,OC042,2025-05-01,1160924.0,CNY
RC0428,AR0429,중국법인,OC042,2025-05-16,1160924.0,CNY
RC0429,AR0431,싱가포르법인,OC043,2025-05-31,54385.26,SGD
RC0430,AR0432,싱가포르법인,OC043,2025-04-26,40056.7,SGD
RC0431,AR0432,싱가포르법인,OC043,2025-04-03,40056.69,SGD
RC0432,AR0433,싱가포르법인,OC043,2025-06-30,41149.09,SGD
RC0433,AR0433,싱가포르법인,OC043,2025-06-30,41149.09,SGD
RC0434,AR0434,싱가포르법인,OC043,2025-06-30,21645.24,SGD
RC0435,AR0435,싱가포르법인,OC043,2025-05-15,97231.29,SGD
RC0436,AR0438,싱가포르법인,OC043,2025-06-30,16583.9,SGD
RC0437,AR0438,싱가포르법인,OC043,2025-06-30,16583.9,SGD
RC0438,AR0439,싱가포르법인,OC043,2025-06-24,65815.07,SGD
RC0439,AR0440,싱가포르법인,OC043,2025-06-30,54658.36,SGD
RC0440,AR0440,싱가포르법인,OC043,2025-06-30,54658.36,SGD
RC0441,AR0442,싱가포르법인,OC044,2025-06-30,5035.44,SGD
RC0442,AR0442,싱가포르법인,OC044,2025-06-06,5035.44,SGD
RC0443,AR0444,싱가포르법인,OC044,2025-06-30,114857.22,SGD
RC0444,AR0445,싱가포르법인,OC044,2025-06-29,44735.23,SGD
RC0445,AR0448,싱가포르법인,OC044,2025-06-30,46204.61,SGD
RC0446,AR0448,싱가포르법인,OC044,2025-06-30,46204.61,SGD
RC0447,AR0450,중국법인,OC045,2025-06-09,462220.5,CNY
RC0448,AR0451,중국법인,OC045,2025-06-20,875489.5,CNY
RC0449,AR0451,중국법인,OC045,2025-06-30,875489.5,CNY
RC0450,AR0453,중국법인,OC045,2025-06-30,1057943.0,CNY
RC0451,AR0454,중국법인,OC045,2025-06-30,708553.5,CNY
RC0452,AR0454,중국법인,OC045,2025-06-30,708553.5,CNY
RC0453,AR0455,중국법인,OC045,2025-06-09,1044945.0,CNY
RC0454,AR0455,중국법인,OC045,2025-06-30,1044945.0,CNY
RC0455,AR0459,중국법인,OC045,2025-04-11,349877.0,CNY
RC0456,AR0459,중국법인,OC045,2025-06-30,349877.0,CNY
RC0457,AR0461,중국법인,OC045,2025-05-22,2869849.0,CNY
RC0458,AR0463,싱가포르법인,OC046,2025-03-05,16459.0,SGD
RC0459,AR0463,싱가포르법인,OC046,2025-03-24,16459.0,SGD
RC0460,AR0467,싱가포르법인,OC046,2025-06-30,118409.41,SGD
RC0461,AR0468,싱가포르법인,OC046,2025-06-30,57407.44,SGD
RC0462,AR0468,싱가포르법인,OC046,2025-06-30,57407.43,SGD
RC0463,AR0469,싱가포르법인,OC046,2025-06-30,14386.82,SGD
RC0464,AR0469,싱가포르법인,OC046,2025-06-30,14386.82,SGD
RC0465,AR0470,독일법인,OC047,2025-03-19,100630.22,EUR
RC0466,AR0471,독일법인,OC047,2025-06-30,48944.5,EUR
RC0467,AR0471,독일법인,OC047,2025-06-30,48944.49,EUR
RC0468,AR0472,독일법인,OC047,2025-05-09,78734.08,EUR
RC0469,AR0473,독일법인,OC047,2025-06-30,10743.74,EUR
RC0470,AR0473,독일법인,OC047,2025-06-30,10743.75,EUR
RC0471,AR0474,독일법인,OC047,2025-06-30,48668.75,EUR
RC0472,AR0474,독일법인,OC047,2025-06-30,48668.75,EUR
RC0473,AR0476,독일법인,OC047,2025-05-11,20120.64,EUR
RC0474,AR0476,독일법인,OC047,2025-06-09,20120.65,EUR
RC0475,AR0477,독일법인,OC047,2025-06-30,18171.56,EUR
RC0476,AR0477,독일법인,OC047,2025-06-30,18171.56,EUR
RC0477,AR0479,독일법인,OC047,2025-05-29,49419.07,EUR
RC0478,AR0480,독일법인,OC048,2025-06-30,115859.3,EUR
RC0479,AR0481,독일법인,OC048,2025-06-30,20932.06,EUR
RC0480,AR0482,독일법인,OC048,2025-06-30,21479.17,EUR
RC0481,AR0483,독일법인,OC048,2025-05-30,34703.44,EUR
RC0482,AR0484,독일법인,OC048,2025-06-30,10483.1,EUR
RC0483,AR0484,독일법인,OC048,2025-06-22,10483.11,EUR
RC0484,AR0486,독일법인,OC048,2025-06-18,40796.39,EUR
RC0485,AR0486,독일법인,OC048,2025-06-30,40796.39,EUR
RC0486,AR0487,독일법인,OC048,2025-06-30,115113.38,EUR
RC0487,AR0488,독일법인,OC048,2025-06-30,87691.17,EUR
RC0488,AR0489,독일법인,OC048,2025-06-30,20889.93,EUR
RC0489,AR0491,독일법인,OC048,2025-06-30,42365.26,EUR
RC0490,AR0491,독일법인,OC048,2025-06-30,42365.25,EUR
RC0491,AR0494,미국법인,OC049,2025-06-30,102330.33,USD
RC0492,AR0495,미국법인,OC049,2025-04-06,113691.42,USD
RC0493,AR0496,미국법인,OC049,2025-05-06,8848.82,USD
RC0494,AR0497,미국법인,OC049,2025-05-17,53225.42,USD
RC0495,AR0497,미국법인,OC049,2025-05-12,53225.43,USD
RC0496,AR0498,미국법인,OC049,2025-06-30,20101.4,USD
RC0497,AR0499,미국법인,OC049,2025-06-30,39520.68,USD
RC0498,AR0499,미국법인,OC049,2025-06-30,39520.68,USD
RC0499,AR0502,미국법인,OC049,2025-06-30,21681.48,USD
RC0500,AR0502,미국법인,OC049,2025-06-30,21681.47,USD
RC0501,AR0503,미국법인,OC049,2025-06-30,43291.98,USD
RC0502,AR0503,미국법인,OC049,2025-06-30,43291.99,USD
RC0503,AR0504,미국법인,OC049,2025-02-08,4297.5,USD
RC0504,AR0504,미국법인,OC049,2025-01-28,4297.49,USD
RC0505,AR0505,중국법인,OC050,2025-05-14,153294.5,CNY
RC0506,AR0505,중국법인,OC050,2025-05-10,153294.5,CNY
RC0507,AR0506,중국법인,OC050,2025-04-18,535047.0,CNY
RC0508,AR0506,중국법인,OC050,2025-06-30,535047.0,CNY
RC0509,AR0507,중국법인,OC050,2025-03-31,467488.5,CNY
RC0510,AR0507,중국법인,OC050,2025-06-04,467488.5,CNY
RC0511,AR0508,중국법인,OC050,2025-03-13,531855.0,CNY
RC0512,AR0509,중국법인,OC050,2025-06-30,2434515.0,CNY
RC0513,AR0510,중국법인,OC050,2025-03-01,678081.5,CNY
RC0514,AR0510,중국법인,OC050,2025-04-27,678081.5,CNY
RC0515,AR0511,중국법인,OC050,2025-04-09,2485552.0,CNY
RC0516,AR0512,중국법인,OC050,2025-06-30,198416.5,CNY
RC0517,AR0512,중국법인,OC050,2025-06-30,198416.5,CNY
RC0518,AR0513,중국법인,OC050,2025-06-30,623214.25,CNY
RC0519,AR0513,중국법인,OC050,2025-06-30,623214.25,CNY
RC0520,AR0514,중국법인,OC050,2025-03-05,581753.5,CNY
RC0521,AR0514,중국법인,OC050,2025-06-01,581753.5,CNY
RC0522,AR0515,중국법인,OC050,2025-05-06,1380139.5,CNY
RC0523,AR0516,중국법인,OC050,2025-06-30,1721174.0,CNY
RC0524,AR0518,중국법인,OC051,2025-06-30,168243.5,CNY
RC0525,AR0518,중국법인,OC051,2025-06-30,168243.5,CNY
RC0526,AR0519,중국법인,OC051,2025-06-30,237825.25,CNY
RC0527,AR0519,중국법인,OC051,2025-06-30,237825.25,CNY
RC0528,AR0520,중국법인,OC051,2025-03-07,1276156.0,CNY
RC0529,AR0520,중국법인,OC051,2025-03-16,1276156.0,CNY
RC0530,AR0522,중국법인,OC051,2025-06-30,731828.0,CNY
RC0531,AR0522,중국법인,OC051,2025-06-30,731828.0,CNY
RC0532,AR0524,중국법인,OC051,2025-06-30,1285294.0,CNY
RC0533,AR0525,중국법인,OC051,2025-04-13,408047.5,CNY
RC0534,AR0527,중국법인,OC051,2025-04-16,541302.0,CNY
RC0535,AR0527,중국법인,OC051,2025-05-08,541302.0,CNY
RC0536,AR0530,싱가포르법인,OC052,2025-06-22,52744.96,SGD
RC0537,AR0530,싱가포르법인,OC052,2025-06-30,52744.96,SGD
RC0538,AR0532,싱가포르법인,OC052,2025-06-30,58035.83,SGD
RC0539,AR0532,싱가포르법인,OC052,2025-06-30,58035.83,SGD
RC0540,AR0533,싱가포르법인,OC052,2025-06-30,108345.48,SGD
RC0541,AR0536,싱가포르법인,OC052,2025-06-30,30238.54,SGD
RC0542,AR0537,싱가포르법인,OC052,2025-06-30,99736.36,SGD
RC0543,AR0538,미국법인,OC053,2025-05-18,38047.6,USD
RC0544,AR0540,미국법인,OC053,2025-06-30,17986.82,USD
RC0545,AR0540,미국법인,OC053,2025-06-30,17986.82,USD
RC0546,AR0541,미국법인,OC053,2025-06-30,112181.68,USD
RC0547,AR0542,미국법인,OC053,2025-06-30,40821.66,USD
RC0548,AR0542,미국법인,OC053,2025-06-30,40821.67,USD
RC0549,AR0543,미국법인,OC053,2025-06-18,13642.9,USD
RC0550,AR0543,미국법인,OC053,2025-06-30,13642.91,USD
RC0551,AR0544,독일법인,OC054,2025-06-30,45733.84,EUR
RC0552,AR0544,독일법인,OC054,2025-06-30,45733.84,EUR
RC0553,AR0545,독일법인,OC054,2025-05-26,37443.76,EUR
RC0554,AR0545,독일법인,OC054,2025-06-12,37443.77,EUR
RC0555,AR0546,독일법인,OC054,2025-06-30,61875.09,EUR
RC0556,AR0548,독일법인,OC054,2025-05-29,52597.76,EUR
RC0557,AR0548,독일법인,OC054,2025-06-30,52597.77,EUR
RC0558,AR0549,독일법인,OC054,2025-06-30,12582.89,EUR
RC0559,AR0550,독일법인,OC054,2025-05-20,42254.28,EUR
RC0560,AR0550,독일법인,OC054,2025-06-30,42254.27,EUR
RC0561,AR0551,독일법인,OC054,2025-06-30,50395.38,EUR
RC0562,AR0551,독일법인,OC054,2025-06-30,50395.39,EUR
RC0563,AR0552,미국법인,OC055,2025-06-30,63355.8,USD
RC0564,AR0554,미국법인,OC055,2025-04-22,108963.2,USD
RC0565,AR0555,미국법인,OC055,2025-06-23,16611.4,USD
RC0566,AR0557,미국법인,OC055,2025-05-11,2172.26,USD
RC0567,AR0557,미국법인,OC055,2025-05-20,2172.26,USD
RC0568,AR0558,미국법인,OC055,2025-06-30,11840.66,USD
RC0569,AR0558,미국법인,OC055,2025-05-30,11840.67,USD
RC0570,AR0559,미국법인,OC055,2025-06-30,14906.96,USD
RC0571,AR0562,미국법인,OC055,2025-06-30,36894.57,USD
RC0572,AR0562,미국법인,OC055,2025-05-28,36894.57,USD
RC0573,AR0563,미국법인,OC055,2025-04-08,15352.64,USD
RC0574,AR0564,싱가포르법인,OC056,2025-06-30,15593.82,SGD
RC0575,AR0564,싱가포르법인,OC056,2025-05-07,15593.82,SGD
RC0576,AR0566,싱가포르법인,OC056,2025-06-30,6667.1,SGD
RC0577,AR0566,싱가포르법인,OC056,2025-06-30,6667.09,SGD
RC0578,AR0567,싱가포르법인,OC056,2025-06-30,24078.66,SGD
RC0579,AR0567,싱가포르법인,OC056,2025-06-30,24078.65,SGD
RC0580,AR0568,싱가포르법인,OC056,2025-06-30,30475.61,SGD
RC0581,AR0571,싱가포르법인,OC056,2025-06-07,29021.06,SGD
RC0582,AR0572,싱가포르법인,OC056,2025-03-14,27230.17,SGD
RC0583,AR0572,싱가포르법인,OC056,2025-06-13,27230.17,SGD
RC0584,AR0574,싱가포르법인,OC056,2025-06-30,10891.2,SGD
RC0585,AR0574,싱가포르법인,OC056,2025-06-30,10891.21,SGD
RC0586,AR0575,싱가포르법인,OC056,2025-06-30,16471.59,SGD
RC0587,AR0575,싱가포르법인,OC056,2025-06-30,16471.59,SGD
RC0588,AR0576,싱가포르법인,OC056,2025-06-30,22433.93,SGD
RC0589,AR0577,싱가포르법인,OC056,2025-06-30,41060.72,SGD
RC0590,AR0578,싱가포르법인,OC057,2025-05-05,23073.29,SGD
RC0591,AR0579,싱가포르법인,OC057,2025-06-30,15162.56,SGD
RC0592,AR0580,싱가포르법인,OC057,2025-04-11,11337.66,SGD
RC0593,AR0580,싱가포르법인,OC057,2025-06-30,11337.66,SGD
RC0594,AR0581,싱가포르법인,OC057,2025-06-30,30342.08,SGD
RC0595,AR0581,싱가포르법인,OC057,2025-06-30,30342.09,SGD
RC0596,AR0583,싱가포르법인,OC057,2025-05-21,25064.34,SGD
RC0597,AR0583,싱가포르법인,OC057,2025-03-18,25064.34,SGD
RC0598,AR0584,싱가포르법인,OC057,2025-06-30,101456.83,SGD
RC0599,AR0586,미국법인,OC058,2025-06-30,110917.31,USD
RC0600,AR0587,미국법인,OC058,2025-06-30,65095.06,USD
RC0601,AR0588,미국법인,OC058,2025-06-30,87895.98,USD
RC0602,AR0591,미국법인,OC058,2025-06-30,31256.22,USD
RC0603,AR0591,미국법인,OC058,2025-06-30,31256.22,USD
RC0604,AR0592,미국법인,OC058,2025-06-30,39670.19,USD
RC0605,AR0593,미국법인,OC058,2025-03-19,11405.19,USD
RC0606,AR0594,미국법인,OC058,2025-04-25,4688.22,USD
RC0607,AR0594,미국법인,OC058,2025-05-24,4688.21,USD
RC0608,AR0595,미국법인,OC058,2025-06-30,29834.66,USD
RC0609,AR0595,미국법인,OC058,2025-06-30,29834.66,USD
RC0610,AR0597,싱가포르법인,OC059,2025-06-30,48396.42,SGD
RC0611,AR0598,싱가포르법인,OC059,2025-06-30,74123.38,SGD
RC0612,AR0602,싱가포르법인,OC059,2025-04-23,107172.71,SGD
RC0613,AR0603,싱가포르법인,OC059,2025-06-30,86456.18,SGD
RC0614,AR0604,싱가포르법인,OC059,2025-04-24,59628.6,SGD
RC0615,AR0604,싱가포르법인,OC059,2025-03-07,59628.6,SGD
RC0616,AR0605,싱가포르법인,OC059,2025-01-24,46751.51,SGD
RC0617,AR0605,싱가포르법인,OC059,2025-04-18,46751.51,SGD
RC0618,AR0607,중국법인,OC060,2025-06-30,621252.0,CNY
RC0619,AR0608,중국법인,OC060,2025-06-30,165977.0,CNY
RC0620,AR0609,중국법인,OC060,2025-06-30,203901.0,CNY
RC0621,AR0610,중국법인,OC060,2025-06-18,943117.0,CNY
RC0622,AR0611,중국법인,OC060,2025-06-30,443293.0,CNY
RC0623,AR0612,중국법인,OC060,2025-06-30,2905461.0,CNY
RC0624,AR0613,중국법인,OC060,2025-06-30,268012.0,CNY
RC0625,AR0616,중국법인,OC060,2025-05-26,1225575.0,CNY
RC0626,AR0617,독일법인,OC061,2025-04-17,33953.5,EUR
RC0627,AR0617,독일법인,OC061,2025-06-30,33953.5,EUR
RC0628,AR0618,독일법인,OC061,2025-06-30,56041.12,EUR
RC0629,AR0621,독일법인,OC061,2025-06-30,48251.71,EUR
RC0630,AR0621,독일법인,OC061,2025-06-30,48251.71,EUR
RC0631,AR0622,독일법인,OC061,2025-06-30,37890.54,EUR
RC0632,AR0622,독일법인,OC061,2025-06-30,37890.55,EUR
RC0633,AR0623,독일법인,OC061,2025-03-10,30586.06,EUR
RC0634,AR0623,독일법인,OC061,2025-04-13,30586.05,EUR
RC0635,AR0624,독일법인,OC061,2025-06-30,3842.16,EUR
RC0636,AR0624,독일법인,OC061,2025-06-30,3842.17,EUR
RC0637,AR0625,독일법인,OC061,2025-06-30,35175.75,EUR
RC0638,AR0626,독일법인,OC061,2025-06-30,31097.19,EUR
RC0639,AR0626,독일법인,OC061,2025-06-20,31097.19,EUR
RC0640,AR0627,독일법인,OC061,2025-06-30,19019.12,EUR
RC0641,AR0627,독일법인,OC061,2025-06-30,19019.11,EUR
RC0642,AR0628,독일법인,OC061,2025-05-15,88140.03,EUR
RC0643,AR0629,독일법인,OC061,2025-06-30,56257.5,EUR
RC0644,AR0629,독일법인,OC061,2025-06-05,56257.5,EUR
RC0645,AR0630,베트남법인,OC062,2025-06-30,746687.0,VND
RC0646,AR0630,베트남법인,OC062,2025-06-30,746687.0,VND
RC0647,AR0631,베트남법인,OC062,2025-05-01,2413832.0,VND
RC0648,AR0632,베트남법인,OC062,2025-06-30,842561.0,VND
RC0649,AR0634,베트남법인,OC062,2025-06-30,1449638.5,VND
RC0650,AR0634,베트남법인,OC062,2025-06-30,1449638.5,VND
RC0651,AR0635,베트남법인,OC062,2025-06-30,676526.0,VND
RC0652,AR0636,베트남법인,OC062,2025-06-25,1349252.5,VND
RC0653,AR0637,베트남법인,OC062,2025-06-30,863429.0,VND
RC0654,AR0637,베트남법인,OC062,2025-06-30,863429.0,VND
RC0655,AR0638,베트남법인,OC062,2025-06-30,658347.0,VND
RC0656,AR0638,베트남법인,OC062,2025-06-30,658347.0,VND
RC0657,AR0639,베트남법인,OC062,2025-05-10,515737.0,VND
RC0658,AR0640,베트남법인,OC062,2025-06-30,556166.5,VND
RC0659,AR0640,베트남법인,OC062,2025-06-30,556166.5,VND
RC0660,AR0641,중국법인,OC063,2025-06-30,1346928.0,CNY
RC0661,AR0642,중국법인,OC063,2025-06-30,77693.0,CNY
RC0662,AR0643,중국법인,OC063,2025-06-30,415827.0,CNY
RC0663,AR0644,중국법인,OC063,2025-06-30,225100.0,CNY
RC0664,AR0644,중국법인,OC063,2025-06-30,225100.0,CNY
RC0665,AR0645,중국법인,OC063,2025-02-28,1405798.5,CNY
RC0666,AR0645,중국법인,OC063,2025-06-03,1405798.5,CNY
RC0667,AR0646,중국법인,OC063,2025-05-19,1789465.0,CNY
RC0668,AR0647,중국법인,OC063,2025-04-18,1394670.0,CNY
RC0669,AR0649,중국법인,OC063,2025-06-18,904507.0,CNY
RC0670,AR0651,중국법인,OC063,2025-03-10,1148439.0,CNY
RC0671,AR0652,중국법인,OC063,2025-06-22,778045.0,CNY
RC0672,AR0655,싱가포르법인,OC064,2025-02-24,119254.27,SGD
RC0673,AR0656,싱가포르법인,OC064,2025-06-30,31114.78,SGD
RC0674,AR0657,싱가포르법인,OC064,2025-05-08,33084.19,SGD
RC0675,AR0659,싱가포르법인,OC064,2025-06-30,24638.14,SGD
RC0676,AR0661,싱가포르법인,OC064,2025-06-30,29781.76,SGD
RC0677,AR0661,싱가포르법인,OC064,2025-06-30,29781.75,SGD
RC0678,AR0662,싱가포르법인,OC064,2025-06-30,78211.72,SGD
RC0679,AR0663,싱가포르법인,OC064,2025-03-25,26655.24,SGD
RC0680,AR0663,싱가포르법인,OC064,2025-04-18,26655.24,SGD
RC0681,AR0665,베트남법인,OC065,2025-04-08,275527.0,VND
RC0682,AR0666,베트남법인,OC065,2025-06-30,841277.5,VND
RC0683,AR0666,베트남법인,OC065,2025-06-30,841277.5,VND
RC0684,AR0667,베트남법인,OC065,2025-06-30,1243996.5,VND
RC0685,AR0667,베트남법인,OC065,2025-04-08,1243996.5,VND
RC0686,AR0670,베트남법인,OC065,2025-06-30,208819.0,VND
RC0687,AR0670,베트남법인,OC065,2025-06-30,208819.0,VND
RC0688,AR0671,베트남법인,OC065,2025-06-30,1340752.0,VND
RC0689,AR0671,베트남법인,OC065,2025-06-30,1340752.0,VND
RC0690,AR0673,베트남법인,OC065,2025-06-30,2225718.0,VND
RC0691,AR0674,베트남법인,OC065,2025-06-30,293830.0,VND
RC0692,AR0676,싱가포르법인,OC066,2025-06-30,16350.36,SGD
RC0693,AR0676,싱가포르법인,OC066,2025-05-28,16350.36,SGD
RC0694,AR0677,싱가포르법인,OC066,2025-06-30,8369.56,SGD
RC0695,AR0677,싱가포르법인,OC066,2025-06-30,8369.57,SGD
RC0696,AR0678,싱가포르법인,OC066,2025-06-30,54693.82,SGD
RC0697,AR0680,싱가포르법인,OC066,2025-06-30,13074.42,SGD
RC0698,AR0680,싱가포르법인,OC066,2025-05-28,13074.42,SGD
RC0699,AR0683,싱가포르법인,OC066,2025-06-30,29594.07,SGD
RC0700,AR0683,싱가포르법인,OC066,2025-06-30,29594.07,SGD
RC0701,AR0684,싱가포르법인,OC067,2025-06-30,58058.08,SGD
RC0702,AR0685,싱가포르법인,OC067,2025-06-30,32824.23,SGD
RC0703,AR0686,싱가포르법인,OC067,2025-05-22,43811.51,SGD
RC0704,AR0686,싱가포르법인,OC067,2025-05-18,43811.51,SGD
RC0705,AR0687,싱가포르법인,OC067,2025-06-30,101505.4,SGD
RC0706,AR0688,싱가포르법인,OC067,2025-06-08,35983.6,SGD
RC0707,AR0688,싱가포르법인,OC067,2025-05-29,35983.59,SGD
RC0708,AR0690,싱가포르법인,OC067,2025-06-30,19516.47,SGD
RC0709,AR0690,싱가포르법인,OC067,2025-06-30,19516.47,SGD
RC0710,AR0691,싱가포르법인,OC067,2025-06-15,19617.46,SGD
RC0711,AR0691,싱가포르법인,OC067,2025-06-30,19617.46,SGD
RC0712,AR0692,싱가포르법인,OC067,2025-04-03,8917.02,SGD
RC0713,AR0694,싱가포르법인,OC067,2025-06-30,33892.39,SGD
RC0714,AR0694,싱가포르법인,OC067,2025-05-31,33892.39,SGD
RC0715,AR0695,싱가포르법인,OC067,2025-06-30,32561.39,SGD
RC0716,AR0697,미국법인,OC068,2025-05-06,54243.39,USD
RC0717,AR0700,미국법인,OC068,2025-06-24,47909.56,USD
RC0718,AR0700,미국법인,OC068,2025-06-30,47909.56,USD
RC0719,AR0701,미국법인,OC068,2025-06-24,16834.26,USD
RC0720,AR0701,미국법인,OC068,2025-06-01,16834.25,USD
RC0721,AR0702,미국법인,OC068,2025-05-22,48851.78,USD
RC0722,AR0703,중국법인,OC069,2025-04-09,1680668.0,CNY
RC0723,AR0705,중국법인,OC069,2025-06-15,1120703.5,CNY
RC0724,AR0705,중국법인,OC069,2025-06-30,1120703.5,CNY
RC0725,AR0706,중국법인,OC069,2025-04-25,1051806.0,CNY
RC0726,AR0706,중국법인,OC069,2025-04-21,1051806.0,CNY
RC0727,AR0708,중국법인,OC069,2025-01-21,1342573.5,CNY
RC0728,AR0708,중국법인,OC069,2025-06-10,1342573.5,CNY
RC0729,AR0709,중국법인,OC069,2025-06-30,2546417.0,CNY
RC0730,AR0710,중국법인,OC069,2025-06-30,1116042.0,CNY
RC0731,AR0710,중국법인,OC069,2025-06-30,1116042.0,CNY
RC0732,AR0711,중국법인,OC069,2025-06-30,1183359.0,CNY
RC0733,AR0712,베트남법인,OC070,2025-03-02,2587072.0,VND
RC0734,AR0715,베트남법인,OC070,2025-06-30,626635.0,VND
RC0735,AR0715,베트남법인,OC070,2025-06-30,626635.0,VND
RC0736,AR0716,베트남법인,OC070,2025-06-30,2401063.0,VND
RC0737,AR0717,베트남법인,OC070,2025-06-30,610141.0,VND
RC0738,AR0717,베트남법인,OC070,2025-06-30,610141.0,VND
RC0739,AR0718,베트남법인,OC070,2025-03-11,1940093.0,VND
RC0740,AR0719,베트남법인,OC070,2025-06-30,937630.5,VND
RC0741,AR0719,베트남법인,OC070,2025-06-30,937630.5,VND
RC0742,AR0721,베트남법인,OC070,2025-03-08,960147.0,VND
RC0743,AR0724,베트남법인,OC070,2025-06-30,452412.75,VND
RC0744,AR0724,베트남법인,OC070,2025-06-30,452412.75,VND
RC0745,AR0725,베트남법인,OC070,2025-04-02,101477.0,VND
RC0746,AR0725,베트남법인,OC070,2025-06-30,101477.0,VND
RC0747,AR0726,베트남법인,OC071,2025-06-30,2273017.0,VND
RC0748,AR0727,베트남법인,OC071,2025-04-24,677078.75,VND
RC0749,AR0727,베트남법인,OC071,2025-06-30,677078.75,VND
RC0750,AR0728,베트남법인,OC071,2025-06-30,241319.5,VND
RC0751,AR0728,베트남법인,OC071,2025-06-30,241319.5,VND
RC0752,AR0729,베트남법인,OC071,2025-06-30,175701.5,VND
RC0753,AR0729,베트남법인,OC071,2025-06-30,175701.5,VND
RC0754,AR0731,베트남법인,OC071,2025-06-30,828247.5,VND
RC0755,AR0732,베트남법인,OC071,2025-02-01,50064.75,VND
RC0756,AR0732,베트남법인,OC071,2025-04-21,50064.75,VND
RC0757,AR0734,베트남법인,OC071,2025-06-30,197546.25,VND
RC0758,AR0734,베트남법인,OC071,2025-06-30,197546.25,VND
RC0759,AR0735,베트남법인,OC071,2025-06-30,2134560.0,VND
RC0760,AR0736,중국법인,OC072,2025-06-30,1443502.5,CNY
RC0761,AR0736,중국법인,OC072,2025-06-30,1443502.5,CNY
RC0762,AR0737,중국법인,OC072,2025-06-30,1231274.5,CNY
RC0763,AR0738,중국법인,OC072,2025-06-30,1495199.0,CNY
RC0764,AR0738,중국법인,OC072,2025-06-30,1495199.0,CNY
RC0765,AR0739,중국법인,OC072,2025-06-30,368642.5,CNY
RC0766,AR0739,중국법인,OC072,2025-06-30,368642.5,CNY
RC0767,AR0740,중국법인,OC072,2025-05-01,1256946.0,CNY
RC0768,AR0740,중국법인,OC072,2025-06-01,1256946.0,CNY
RC0769,AR0743,중국법인,OC072,2025-03-08,706807.5,CNY
RC0770,AR0743,중국법인,OC072,2025-06-30,706807.5,CNY
RC0771,AR0744,중국법인,OC072,2025-06-30,487623.25,CNY
RC0772,AR0744,중국법인,OC072,2025-06-30,487623.25,CNY
RC0773,AR0745,중국법인,OC072,2025-06-30,1113427.5,CNY
RC0774,AR0745,중국법인,OC072,2025-06-30,1113427.5,CNY
RC0775,AR0746,중국법인,OC072,2025-06-30,253647.0,CNY
RC0776,AR0749,중국법인,OC072,2025-05-17,211374.0,CNY
